,Short_Name,Full_Name,geometry
32,B01001e17,SEX BY AGE: Male: 55 to 59 years: Total population -- (Estimate),
33,B01001m17,SEX BY AGE: Male: 55 to 59 years: Total population -- (Margin of Error),
34,B01001e18,SEX BY AGE: Male: 60 and 61 years: Total population -- (Estimate),
35,B01001m18,SEX BY AGE: Male: 60 and 61 years: Total population -- (Margin of Error),
36,B01001e19,SEX BY AGE: Male: 62 to 64 years: Total population -- (Estimate),
37,B01001m19,SEX BY AGE: Male: 62 to 64 years: Total population -- (Margin of Error),
38,B01001e20,SEX BY AGE: Male: 65 and 66 years: Total population -- (Estimate),
39,B01001m20,SEX BY AGE: Male: 65 and 66 years: Total population -- (Margin of Error),
40,B01001e21,SEX BY AGE: Male: 67 to 69 years: Total population -- (Estimate),
41,B01001m21,SEX BY AGE: Male: 67 to 69 years: Total population -- (Margin of Error),
42,B01001e22,SEX BY AGE: Male: 70 to 74 years: Total population -- (Estimate),
43,B01001m22,SEX BY AGE: Male: 70 to 74 years: Total population -- (Margin of Error),
44,B01001e23,SEX BY AGE: Male: 75 to 79 years: Total population -- (Estimate),
45,B01001m23,SEX BY AGE: Male: 75 to 79 years: Total population -- (Margin of Error),
46,B01001e24,SEX BY AGE: Male: 80 to 84 years: Total population -- (Estimate),
47,B01001m24,SEX BY AGE: Male: 80 to 84 years: Total population -- (Margin of Error),
48,B01001e25,SEX BY AGE: Male: 85 years and over: Total population -- (Estimate),
49,B01001m25,SEX BY AGE: Male: 85 years and over: Total population -- (Margin of Error),
50,B01001e26,SEX BY AGE: Female: Total population -- (Estimate),
51,B01001m26,SEX BY AGE: Female: Total population -- (Margin of Error),
52,B01001e27,SEX BY AGE: Female: Under 5 years: Total population -- (Estimate),
53,B01001m27,SEX BY AGE: Female: Under 5 years: Total population -- (Margin of Error),
54,B01001e28,SEX BY AGE: Female: 5 to 9 years: Total population -- (Estimate),
55,B01001m28,SEX BY AGE: Female: 5 to 9 years: Total population -- (Margin of Error),
56,B01001e29,SEX BY AGE: Female: 10 to 14 years: Total population -- (Estimate),
57,B01001m29,SEX BY AGE: Female: 10 to 14 years: Total population -- (Margin of Error),
58,B01001e30,SEX BY AGE: Female: 15 to 17 years: Total population -- (Estimate),
59,B01001m30,SEX BY AGE: Female: 15 to 17 years: Total population -- (Margin of Error),
60,B01001e31,SEX BY AGE: Female: 18 and 19 years: Total population -- (Estimate),
61,B01001m31,SEX BY AGE: Female: 18 and 19 years: Total population -- (Margin of Error),
62,B01001e32,SEX BY AGE: Female: 20 years: Total population -- (Estimate),
63,B01001m32,SEX BY AGE: Female: 20 years: Total population -- (Margin of Error),
64,B01001e33,SEX BY AGE: Female: 21 years: Total population -- (Estimate),
65,B01001m33,SEX BY AGE: Female: 21 years: Total population -- (Margin of Error),
66,B01001e34,SEX BY AGE: Female: 22 to 24 years: Total population -- (Estimate),
67,B01001m34,SEX BY AGE: Female: 22 to 24 years: Total population -- (Margin of Error),
68,B01001e35,SEX BY AGE: Female: 25 to 29 years: Total population -- (Estimate),
69,B01001m35,SEX BY AGE: Female: 25 to 29 years: Total population -- (Margin of Error),
70,B01001e36,SEX BY AGE: Female: 30 to 34 years: Total population -- (Estimate),
71,B01001m36,SEX BY AGE: Female: 30 to 34 years: Total population -- (Margin of Error),
72,B01001e37,SEX BY AGE: Female: 35 to 39 years: Total population -- (Estimate),
73,B01001m37,SEX BY AGE: Female: 35 to 39 years: Total population -- (Margin of Error),
74,B01001e38,SEX BY AGE: Female: 40 to 44 years: Total population -- (Estimate),
75,B01001m38,SEX BY AGE: Female: 40 to 44 years: Total population -- (Margin of Error),
76,B01001e39,SEX BY AGE: Female: 45 to 49 years: Total population -- (Estimate),
77,B01001m39,SEX BY AGE: Female: 45 to 49 years: Total population -- (Margin of Error),
78,B01001e40,SEX BY AGE: Female: 50 to 54 years: Total population -- (Estimate),
79,B01001m40,SEX BY AGE: Female: 50 to 54 years: Total population -- (Margin of Error),
80,B01001e41,SEX BY AGE: Female: 55 to 59 years: Total population -- (Estimate),
81,B01001m41,SEX BY AGE: Female: 55 to 59 years: Total population -- (Margin of Error),
82,B01001e42,SEX BY AGE: Female: 60 and 61 years: Total population -- (Estimate),
83,B01001m42,SEX BY AGE: Female: 60 and 61 years: Total population -- (Margin of Error),
84,B01001e43,SEX BY AGE: Female: 62 to 64 years: Total population -- (Estimate),
85,B01001m43,SEX BY AGE: Female: 62 to 64 years: Total population -- (Margin of Error),
86,B01001e44,SEX BY AGE: Female: 65 and 66 years: Total population -- (Estimate),
87,B01001m44,SEX BY AGE: Female: 65 and 66 years: Total population -- (Margin of Error),
88,B01001e45,SEX BY AGE: Female: 67 to 69 years: Total population -- (Estimate),
89,B01001m45,SEX BY AGE: Female: 67 to 69 years: Total population -- (Margin of Error),
90,B01001e46,SEX BY AGE: Female: 70 to 74 years: Total population -- (Estimate),
91,B01001m46,SEX BY AGE: Female: 70 to 74 years: Total population -- (Margin of Error),
92,B01001e47,SEX BY AGE: Female: 75 to 79 years: Total population -- (Estimate),
93,B01001m47,SEX BY AGE: Female: 75 to 79 years: Total population -- (Margin of Error),
94,B01001e48,SEX BY AGE: Female: 80 to 84 years: Total population -- (Estimate),
95,B01001m48,SEX BY AGE: Female: 80 to 84 years: Total population -- (Margin of Error),
96,B01001e49,SEX BY AGE: Female: 85 years and over: Total population -- (Estimate),
97,B01001m49,SEX BY AGE: Female: 85 years and over: Total population -- (Margin of Error),
98,B01002e1,MEDIAN AGE BY SEX: Total: Total population -- (Estimate),
99,B01002m1,MEDIAN AGE BY SEX: Total: Total population -- (Margin of Error),
100,B01002e2,MEDIAN AGE BY SEX: Total: Male: Total population -- (Estimate),
101,B01002m2,MEDIAN AGE BY SEX: Total: Male: Total population -- (Margin of Error),
102,B01002e3,MEDIAN AGE BY SEX: Total: Female: Total population -- (Estimate),
103,B01002m3,MEDIAN AGE BY SEX: Total: Female: Total population -- (Margin of Error),
104,B01002Ae1,MEDIAN AGE BY SEX (WHITE ALONE): Total: People who are White alone -- (Estimate),
105,B01002Am1,MEDIAN AGE BY SEX (WHITE ALONE): Total: People who are White alone -- (Margin of Error),
106,B01002Ae2,MEDIAN AGE BY SEX (WHITE ALONE): Total: Male: People who are White alone -- (Estimate),
107,B01002Am2,MEDIAN AGE BY SEX (WHITE ALONE): Total: Male: People who are White alone -- (Margin of Error),
108,B01002Ae3,MEDIAN AGE BY SEX (WHITE ALONE): Total: Female: People who are White alone -- (Estimate),
109,B01002Am3,MEDIAN AGE BY SEX (WHITE ALONE): Total: Female: People who are White alone -- (Margin of Error),
110,B01002Be1,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Estimate),
111,B01002Bm1,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Margin of Error),
112,B01002Be2,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Male: Black or African American alone -- (Estimate),
113,B01002Bm2,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Male: Black or African American alone -- (Margin of Error),
114,B01002Be3,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Female: Black or African American alone -- (Estimate),
115,B01002Bm3,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Female: Black or African American alone -- (Margin of Error),
116,B01002Ce1,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: People who are American Indian and Alaska Native alone -- (Estimate),
117,B01002Cm1,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: People who are American Indian and Alaska Native alone -- (Margin of Error),
118,B01002Ce2,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: Male: People who are American Indian and Alaska Native alone -- (Estimate),
119,B01002Cm2,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: Male: People who are American Indian and Alaska Native alone -- (Margin of Error),
120,B01002Ce3,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: Female: People who are American Indian and Alaska Native alone -- (Estimate),
121,B01002Cm3,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: Female: People who are American Indian and Alaska Native alone -- (Margin of Error),
122,B01002De1,MEDIAN AGE BY SEX (ASIAN ALONE): Total: People who are Asian alone -- (Estimate),
123,B01002Dm1,MEDIAN AGE BY SEX (ASIAN ALONE): Total: People who are Asian alone -- (Margin of Error),
124,B01002De2,MEDIAN AGE BY SEX (ASIAN ALONE): Total: Male: People who are Asian alone -- (Estimate),
125,B01002Dm2,MEDIAN AGE BY SEX (ASIAN ALONE): Total: Male: People who are Asian alone -- (Margin of Error),
126,B01002De3,MEDIAN AGE BY SEX (ASIAN ALONE): Total: Female: People who are Asian alone -- (Estimate),
127,B01002Dm3,MEDIAN AGE BY SEX (ASIAN ALONE): Total: Female: People who are Asian alone -- (Margin of Error),
128,B01002Ee1,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate),
129,B01002Em1,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error),
130,B01002Ee2,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate),
131,B01002Em2,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error),
132,B01002Ee3,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate),
133,B01002Em3,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error),
134,B01002Fe1,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Estimate),
135,B01002Fm1,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Margin of Error),
136,B01002Fe2,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: Male: People who are Some Other Race alone -- (Estimate),
137,B01002Fm2,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: Male: People who are Some Other Race alone -- (Margin of Error),
138,B01002Fe3,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: Female: People who are Some Other Race alone -- (Estimate),
139,B01002Fm3,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: Female: People who are Some Other Race alone -- (Margin of Error),
140,B01002Ge1,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: People who are Two or More Races -- (Estimate),
141,B01002Gm1,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: People who are Two or More Races -- (Margin of Error),
142,B01002Ge2,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: Male: People who are Two or More Races -- (Estimate),
143,B01002Gm2,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: Male: People who are Two or More Races -- (Margin of Error),
144,B01002Ge3,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: Female: People who are Two or More Races -- (Estimate),
145,B01002Gm3,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: Female: People who are Two or More Races -- (Margin of Error),
146,B01002He1,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population -- (Estimate)",
147,B01002Hm1,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population -- (Margin of Error)",
148,B01002He2,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: Male: White alone, not Hispanic or Latino population -- (Estimate)",
149,B01002Hm2,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: Male: White alone, not Hispanic or Latino population -- (Margin of Error)",
150,B01002He3,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: Female: White alone, not Hispanic or Latino population -- (Estimate)",
151,B01002Hm3,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: Female: White alone, not Hispanic or Latino population -- (Margin of Error)",
152,B01002Ie1,MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Hispanic or Latino population -- (Estimate),
153,B01002Im1,MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Hispanic or Latino population -- (Margin of Error),
154,B01002Ie2,MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Male: Hispanic or Latino population -- (Estimate),
155,B01002Im2,MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Male: Hispanic or Latino population -- (Margin of Error),
156,B01002Ie3,MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Female: Hispanic or Latino population -- (Estimate),
157,B01002Im3,MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Female: Hispanic or Latino population -- (Margin of Error),
158,B01003e1,TOTAL POPULATION: Total: Total population -- (Estimate),
159,B01003m1,TOTAL POPULATION: Total: Total population -- (Margin of Error),
160,B02001e1,RACE: Total: Total population -- (Estimate),
161,B02001m1,RACE: Total: Total population -- (Margin of Error),
162,B02001e2,RACE: Total: White alone: Total population -- (Estimate),
163,B02001m2,RACE: Total: White alone: Total population -- (Margin of Error),
164,B02001e3,RACE: Total: Black or African American alone: Total population -- (Estimate),
165,B02001m3,RACE: Total: Black or African American alone: Total population -- (Margin of Error),
166,B02001e4,RACE: Total: American Indian and Alaska Native alone: Total population -- (Estimate),
167,B02001m4,RACE: Total: American Indian and Alaska Native alone: Total population -- (Margin of Error),
168,B02001e5,RACE: Total: Asian alone: Total population -- (Estimate),
169,B02001m5,RACE: Total: Asian alone: Total population -- (Margin of Error),
170,B02001e6,RACE: Total: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate),
171,B02001m6,RACE: Total: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error),
172,B02001e7,RACE: Total: Some other race alone: Total population -- (Estimate),
173,B02001m7,RACE: Total: Some other race alone: Total population -- (Margin of Error),
174,B02001e8,RACE: Two or more races: Total population -- (Estimate),
175,B02001m8,RACE: Two or more races: Total population -- (Margin of Error),
176,B02001e9,RACE: Two or more races: Two races including Some other race: Total population -- (Estimate),
177,B02001m9,RACE: Two or more races: Two races including Some other race: Total population -- (Margin of Error),
178,B02001e10,"RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)",
179,B02001m10,"RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)",
180,B02008e1,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: White alone or in combination with one or more other races -- (Estimate),
181,B02008m1,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: White alone or in combination with one or more other races -- (Margin of Error),
182,B02009e1,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Black or African American alone or in combination with one or more other races -- (Estimate),
183,B02009m1,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Black or African American alone or in combination with one or more other races -- (Margin of Error),
184,B02010e1,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: People who are American Indian or Alaska Native alone or in combination with one or more other races -- (Estimate),
185,B02010m1,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: People who are American Indian or Alaska Native alone or in combination with one or more other races -- (Margin of Error),
186,B02011e1,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Asian alone or in combination with one or more other races -- (Estimate),
187,B02011m1,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Asian alone or in combination with one or more other races -- (Margin of Error),
188,B02012e1,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races -- (Estimate),
189,B02012m1,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races -- (Margin of Error),
190,B02013e1,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Some other race alone or in combination with one or more other races -- (Estimate),
191,B02013m1,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Some other race alone or in combination with one or more other races -- (Margin of Error),
192,C02003e1,DETAILED RACE: Total: Total population -- (Estimate),
193,C02003m1,DETAILED RACE: Total: Total population -- (Margin of Error),
194,C02003e2,DETAILED RACE: Population of one race: Total population -- (Estimate),
195,C02003m2,DETAILED RACE: Population of one race: Total population -- (Margin of Error),
196,C02003e3,DETAILED RACE: Population of one race: White: Total population -- (Estimate),
197,C02003m3,DETAILED RACE: Population of one race: White: Total population -- (Margin of Error),
198,C02003e4,DETAILED RACE: Population of one race: Black or African American: Total population -- (Estimate),
199,C02003m4,DETAILED RACE: Population of one race: Black or African American: Total population -- (Margin of Error),
200,C02003e5,DETAILED RACE: Population of one race: American Indian and Alaska Native: Total population -- (Estimate),
201,C02003m5,DETAILED RACE: Population of one race: American Indian and Alaska Native: Total population -- (Margin of Error),
202,C02003e6,DETAILED RACE: Population of one race: Asian: Total population -- (Estimate),
203,C02003m6,DETAILED RACE: Population of one race: Asian: Total population -- (Margin of Error),
204,C02003e7,DETAILED RACE: Population of one race: Native Hawaiian and Other Pacific Islander: Total population -- (Estimate),
205,C02003m7,DETAILED RACE: Population of one race: Native Hawaiian and Other Pacific Islander: Total population -- (Margin of Error),
206,C02003e8,DETAILED RACE: Population of one race: Some other race: Total population -- (Estimate),
207,C02003m8,DETAILED RACE: Population of one race: Some other race: Total population -- (Margin of Error),
208,C02003e9,DETAILED RACE: Population of two or more races: Total population -- (Estimate),
209,C02003m9,DETAILED RACE: Population of two or more races: Total population -- (Margin of Error),
210,C02003e10,DETAILED RACE: Population of two or more races: Two races including Some other race: Total population -- (Estimate),
211,C02003m10,DETAILED RACE: Population of two or more races: Two races including Some other race: Total population -- (Margin of Error),
212,C02003e11,"DETAILED RACE: Population of two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)",
213,C02003m11,"DETAILED RACE: Population of two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)",
214,C02003e12,DETAILED RACE: Population of two races: Total population -- (Estimate),
215,C02003m12,DETAILED RACE: Population of two races: Total population -- (Margin of Error),
216,C02003e13,DETAILED RACE: Population of two races: White; Black or African American: Total population -- (Estimate),
217,C02003m13,DETAILED RACE: Population of two races: White; Black or African American: Total population -- (Margin of Error),
218,C02003e14,DETAILED RACE: Population of two races: White; American Indian and Alaska Native: Total population -- (Estimate),
219,C02003m14,DETAILED RACE: Population of two races: White; American Indian and Alaska Native: Total population -- (Margin of Error),
220,C02003e15,DETAILED RACE: Population of two races: White; Asian: Total population -- (Estimate),
221,C02003m15,DETAILED RACE: Population of two races: White; Asian: Total population -- (Margin of Error),
222,C02003e16,DETAILED RACE: Population of two races: Black or African American; American Indian and Alaska Native: Total population -- (Estimate),
223,C02003m16,DETAILED RACE: Population of two races: Black or African American; American Indian and Alaska Native: Total population -- (Margin of Error),
224,C02003e17,DETAILED RACE: Population of two races: All other two race combinations: Total population -- (Estimate),
225,C02003m17,DETAILED RACE: Population of two races: All other two race combinations: Total population -- (Margin of Error),
226,C02003e18,DETAILED RACE: Population of two races: Population of three races: Total population -- (Estimate),
227,C02003m18,DETAILED RACE: Population of two races: Population of three races: Total population -- (Margin of Error),
228,C02003e19,DETAILED RACE: Population of two races: Population of four or more races: Total population -- (Estimate),
229,C02003m19,DETAILED RACE: Population of two races: Population of four or more races: Total population -- (Margin of Error),
230,B03002e1,HISPANIC OR LATINO ORIGIN BY RACE: Total: Total population -- (Estimate),
231,B03002m1,HISPANIC OR LATINO ORIGIN BY RACE: Total: Total population -- (Margin of Error),
232,B03002e2,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Total population -- (Estimate),
233,B03002m2,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Total population -- (Margin of Error),
234,B03002e3,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: White alone: Total population -- (Estimate),
235,B03002m3,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: White alone: Total population -- (Margin of Error),
236,B03002e4,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Black or African American alone: Total population -- (Estimate),
237,B03002m4,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Black or African American alone: Total population -- (Margin of Error),
238,B03002e5,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Estimate),
239,B03002m5,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Margin of Error),
240,B03002e6,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Asian alone: Total population -- (Estimate),
241,B03002m6,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Asian alone: Total population -- (Margin of Error),
242,B03002e7,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate),
243,B03002m7,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error),
244,B03002e8,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Some other race alone: Total population -- (Estimate),
245,B03002m8,HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Some other race alone: Total population -- (Margin of Error),
246,B03002e9,HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Total population -- (Estimate),
247,B03002m9,HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Total population -- (Margin of Error),
248,B03002e10,HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Two races including Some other race: Total population -- (Estimate),
249,B03002m10,HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Two races including Some other race: Total population -- (Margin of Error),
250,B03002e11,"HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)",
251,B03002m11,"HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)",
252,B03002e12,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Total population -- (Estimate),
253,B03002m12,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Total population -- (Margin of Error),
254,B03002e13,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: White alone: Total population -- (Estimate),
255,B03002m13,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: White alone: Total population -- (Margin of Error),
256,B03002e14,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Black or African American alone: Total population -- (Estimate),
257,B03002m14,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Black or African American alone: Total population -- (Margin of Error),
258,B03002e15,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Estimate),
259,B03002m15,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Margin of Error),
260,B03002e16,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Asian alone: Total population -- (Estimate),
261,B03002m16,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Asian alone: Total population -- (Margin of Error),
262,B03002e17,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate),
263,B03002m17,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error),
264,B03002e18,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Some other race alone: Total population -- (Estimate),
265,B03002m18,HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Some other race alone: Total population -- (Margin of Error),
266,B03002e19,HISPANIC OR LATINO ORIGIN BY RACE: Two or more races: Total population -- (Estimate),
